all (All)
afr (Afrikaans)
alb (Albanian)
ara (Arabic)
arm (Armenian)
ast (Asturian)
aze (Azerbaijani)
baq (Basque)
bel (Belarusian)
ben (Bengali)
bos (Bosnian)
bre (Breton)
bul (Bulgarian)
bur (Burmese)
cat (Catalan)
chi (Chinese (simplified))
zht (Chinese (traditional))
zhe (Chinese bilingual)
hrv (Croatian)
cze (Czech)
dan (Danish)
eng (English)
epo (Esperanto)
est (Estonian)
ext (Extremaduran)
fin (Finnish)
fre (French)
glg (Galician)
geo (Georgian)
ger (German)
ell (Greek)
heb (Hebrew)
hin (Hindi)
hun (Hungarian)
ice (Icelandic)
ind (Indonesian)
ita (Italian)
jpn (Japanese)
kaz (Kazakh)
khm (Khmer)
kor (Korean)
lav (Latvian)
lit (Lithuanian)
ltz (Luxembourgish)
mac (Macedonian)
may (Malay)
mal (Malayalam)
mni (Manipuri)
mon (Mongolian)
mne (Montenegrin)
dut (Nederlands)
nor (Norwegian)
oci (Occitan)
per (Persian)
pol (Polish)
por (Portuguese)
pob (Portuguese (BR))
pom (Portuguese (MZ))
rum (Romanian)
rus (Russian)
scc (Serbian)
sin (Sinhalese)
slo (Slovak)
slv (Slovenian)
spa (Spanish)
swa (Swahili)
swe (Swedish)
syr (Syriac)
tgl (Tagalog)
tam (Tamil)
tel (Telugu)
tha (Thai)
tur (Turkish)
ukr (Ukrainian)
urd (Urdu)
vie (Vietnamese)
